BZ1:1
C1:1
C2:1
C3:1
C4:1
D1:1
D2:1
F1:1
G***:2
J1:1
J2:1
J3:1
J4:1
J5:1
J6:1
J7:1
Q1:1
R1:1
R2:1
R3:1
R4:1
SW1:1
SW2:1
SW3:1
SW4:1
U1:1
U2:1
